x-axis, y-axis
3.483483483483483667e+01,3.731899723285294623e-01
3.503503503503503680e+01,3.951089522730431014e-01
3.523523523523523693e+01,4.170279322175567405e-01
3.543543543543543706e+01,4.347970562357248436e-01
3.563563563563563719e+01,4.502361037625875473e-01
3.583583583583583732e+01,4.656751512894502509e-01
3.603603603603603744e+01,4.811141988163130101e-01
3.623623623623623757e+01,4.965532463431757138e-01
3.643643643643643770e+01,5.015411816418845481e-01
3.663663663663663783e+01,5.058323085700098254e-01
3.683683683683683796e+01,5.101234354981349917e-01
3.703703703703703809e+01,5.144145624262602690e-01
3.723723723723723822e+01,5.107217169828889292e-01
3.743743743743743835e+01,4.809765173496344803e-01
3.763763763763763848e+01,4.512313177163799760e-01
3.783783783783783861e+01,4.214861180831255272e-01
3.803803803803803874e+01,3.917409184498710228e-01
3.823823823823823886e+01,3.661862316550463237e-01
3.843843843843843899e+01,3.443231233975405092e-01
3.863863863863863912e+01,3.224600151400347503e-01
3.883883883883883925e+01,3.005969068825289359e-01
3.903903903903903938e+01,2.787337986250231214e-01
3.923923923923923951e+01,2.948861580255264792e-01
3.943943943943943964e+01,3.188951381525075290e-01
3.963963963963963977e+01,3.429041182794885789e-01
3.983983983983983990e+01,3.669130984064696288e-01
4.004004004004004003e+01,3.907375231634289681e-01
4.024024024024024015e+01,4.132795126426809795e-01
4.044044044044044028e+01,4.358215021219329910e-01
4.064064064064064041e+01,4.583634916011850025e-01
4.084084084084084054e+01,4.809054810804370139e-01
4.104104104104104067e+01,5.013366572874825566e-01
4.124124124124124080e+01,5.188871661047654849e-01
4.144144144144144093e+01,5.364376749220484131e-01
4.164164164164164106e+01,5.539881837393313413e-01
4.184184184184184119e+01,5.715386925566143805e-01
4.204204204204204132e+01,5.883585139012615928e-01
4.224224224224224145e+01,6.048941239848412144e-01
4.244244244244244157e+01,6.214297340684207249e-01
4.264264264264264170e+01,6.379653441520003465e-01
4.284284284284284894e+01,6.541231234486646340e-01
4.304304304304304907e+01,6.484839261758003071e-01
4.324324324324324920e+01,6.428447289029359801e-01
4.344344344344344933e+01,6.372055316300716532e-01
4.364364364364364945e+01,6.315663343572074373e-01
4.384384384384384958e+01,6.201180335494389517e-01
4.404404404404404971e+01,5.959853688583472975e-01
4.424424424424424984e+01,5.718527041672556432e-01
4.444444444444444997e+01,5.477200394761639890e-01
4.464464464464465010e+01,5.235873747850723348e-01
4.484484484484485023e+01,4.687113871923680453e-01
4.504504504504505036e+01,3.942783132351709852e-01
4.524524524524525049e+01,3.198452392779739251e-01
4.544544544544545062e+01,2.454121653207768650e-01
4.564564564564565075e+01,1.709790913635798049e-01
4.584584584584585087e+01,1.326119333580632609e-01
4.604604604604605100e+01,9.788713336594240255e-02
4.624624624624625113e+01,6.316233337382154422e-02
4.644644644644645126e+01,2.843753338170068590e-02
4.664664664664665139e+01,4.051791954038363834e-03
4.684684684684685152e+01,1.967550277543590742e-02
4.704704704704705165e+01,3.529921359683345361e-02
4.724724724724725178e+01,5.092292441823099980e-02
4.744744744744745191e+01,6.654663523962855987e-02
4.764764764764765204e+01,9.151841930331838793e-02
4.784784784784785217e+01,1.257479411909561973e-01
4.804804804804805229e+01,1.599774630785940066e-01
4.824824824824825242e+01,1.942069849662318437e-01
4.844844844844845255e+01,2.284365068538696530e-01
4.864864864864865268e+01,2.443614906686778498e-01
4.884884884884885281e+01,2.556961848813150695e-01
4.904904904904905294e+01,2.670308790939523447e-01
4.924924924924925307e+01,2.783655733065895643e-01
4.944944944944945320e+01,2.861400774867149388e-01
4.964964964964965333e+01,2.606133772599045217e-01
4.984984984984985346e+01,2.350866770330941602e-01
5.005005005005005358e+01,2.095599768062837709e-01
5.025025025025025371e+01,1.840332765794733816e-01
5.045045045045045384e+01,1.659379010680215039e-01
5.065065065065065397e+01,1.592886764175534819e-01
5.085085085085085410e+01,1.526394517670854323e-01
5.105105105105105423e+01,1.459902271166174104e-01
5.125125125125125436e+01,1.393410024661493885e-01
